"countries"	"country codes"	"item"	"item codes"	"element"	"element codes"	2007	
"South Africa"	202	"Apricots"	526	"Area Harvested (Ha)"	31	7000	"F "
"South Africa"	202	"Avocados"	572	"Area Harvested (Ha)"	31	13000	"F "
"South Africa"	202	"Bananas"	486	"Area Harvested (Ha)"	31	7000	"F "
"South Africa"	202	"Barley"	44	"Area Harvested (Ha)"	31	73360	"  "
"Spain"	203	"Apples"	515	"Area Harvested (Ha)"	31	37500	"F "
"Spain"	203	"Apricots"	526	"Area Harvested (Ha)"	31	16500	"F "
"Spain"	203	"Artichokes"	366	"Area Harvested (Ha)"	31	21000	"F "
"Spain"	203	"Asparagus"	367	"Area Harvested (Ha)"	31	9500	"  "
"Spain"	203	"Avocados"	572	"Area Harvested (Ha)"	31	10500	"F "
"Spain"	203	"Bananas"	486	"Area Harvested (Ha)"	31	10200	"F "
"Spain"	203	"Barley"	44	"Area Harvested (Ha)"	31	3209300	"  "
"Sri Lanka"	38	"Arecanuts"	226	"Area Harvested (Ha)"	31	12430	"  "
"Sudan"	206	"Bananas"	486	"Area Harvested (Ha)"	31	2300	"F "
"Suriname"	207	"Bananas"	486	"Area Harvested (Ha)"	31	2200	"F "
"Swaziland"	209	"Avocados"	572	"Area Harvested (Ha)"	31	50	"F "
"Swaziland"	209	"Bananas"	486	"Area Harvested (Ha)"	31	120	"F "
"Sweden"	210	"Apples"	515	"Area Harvested (Ha)"	31	1500	"  "
"Sweden"	210	"Barley"	44	"Area Harvested (Ha)"	31	321000	"  "
"Switzerland"	211	"Apples"	515	"Area Harvested (Ha)"	31	4300	"F "
"Switzerland"	211	"Apricots"	526	"Area Harvested (Ha)"	31	600	"F "
"Switzerland"	211	"Artichokes"	366	"Area Harvested (Ha)"	31	1	"F "
"Switzerland"	211	"Asparagus"	367	"Area Harvested (Ha)"	31	150	"F "
"Switzerland"	211	"Barley"	44	"Area Harvested (Ha)"	31	34800	"  "
"Syrian Arab Republic"	212	"Apples"	515	"Area Harvested (Ha)"	31	78000	"F "
"Syrian Arab Republic"	212	"Apricots"	526	"Area Harvested (Ha)"	31	13200	"F "
"Syrian Arab Republic"	212	"Artichokes"	366	"Area Harvested (Ha)"	31	500	"F "
"Syrian Arab Republic"	212	"Bananas"	486	"Area Harvested (Ha)"	31	35	"F "
"Syrian Arab Republic"	212	"Barley"	44	"Area Harvested (Ha)"	31	1250000	"F "
"Tajikistan"	208	"Apples"	515	"Area Harvested (Ha)"	31	21000	"F "
"Tajikistan"	208	"Apricots"	526	"Area Harvested (Ha)"	31	7000	"F "
"Tajikistan"	208	"Barley"	44	"Area Harvested (Ha)"	31	47000	"F "
"Tanzania, United Republic of"	215	"Bananas"	486	"Area Harvested (Ha)"	31	67000	"F "
"Tanzania, United Republic of"	215	"Barley"	44	"Area Harvested (Ha)"	31	2000	"F "
"Thailand"	216	"Arecanuts"	226	"Area Harvested (Ha)"	31	16000	"F "
"Thailand"	216	"Asparagus"	367	"Area Harvested (Ha)"	31	3400	"F "
"Thailand"	216	"Bananas"	486	"Area Harvested (Ha)"	31	153000	"F "
"Thailand"	216	"Barley"	44	"Area Harvested (Ha)"	31	10000	"F "
"The former Yugoslav Republic of Macedonia"	154	"Apples"	515	"Area Harvested (Ha)"	31	9000	"F "
"The former Yugoslav Republic of Macedonia"	154	"Apricots"	526	"Area Harvested (Ha)"	31	400	"F "
"The former Yugoslav Republic of Macedonia"	154	"Barley"	44	"Area Harvested (Ha)"	31	39600	"  "
"Timor-Leste"	176	"Avocados"	572	"Area Harvested (Ha)"	31	65	"F "
"Timor-Leste"	176	"Bananas"	486	"Area Harvested (Ha)"	31	60	"F "
"Togo"	217	"Bananas"	486	"Area Harvested (Ha)"	31	1750	"F "
"Tokelau"	218	"Bananas"	486	"Area Harvested (Ha)"	31	5	"F "
"Tonga"	219	"Bananas"	486	"Area Harvested (Ha)"	31	570	"F "
"Trinidad and Tobago"	220	"Avocados"	572	"Area Harvested (Ha)"	31	85	"F "
"Trinidad and Tobago"	220	"Bananas"	486	"Area Harvested (Ha)"	31	1350	"F "
"Tunisia"	222	"Apples"	515	"Area Harvested (Ha)"	31	25000	"F "
"Tunisia"	222	"Apricots"	526	"Area Harvested (Ha)"	31	8000	"F "
"Tunisia"	222	"Artichokes"	366	"Area Harvested (Ha)"	31	2380	"  "
"Tunisia"	222	"Avocados"	572	"Area Harvested (Ha)"	31	25	"F "
"Tunisia"	222	"Barley"	44	"Area Harvested (Ha)"	31	494200	"  "
"Turkey"	223	"Apples"	515	"Area Harvested (Ha)"	31	110000	"F "
"Turkey"	223	"Apricots"	526	"Area Harvested (Ha)"	31	61500	"* "
"Turkey"	223	"Artichokes"	366	"Area Harvested (Ha)"	31	2900	"F "
"Turkey"	223	"Asparagus"	367	"Area Harvested (Ha)"	31	3	"F "
"Turkey"	223	"Avocados"	572	"Area Harvested (Ha)"	31	130	"F "
"Turkey"	223	"Bananas"	486	"Area Harvested (Ha)"	31	4200	"F "
"Turkey"	223	"Barley"	44	"Area Harvested (Ha)"	31	3600000	"* "
"Turkmenistan"	213	"Apples"	515	"Area Harvested (Ha)"	31	14400	"F "
"Turkmenistan"	213	"Apricots"	526	"Area Harvested (Ha)"	31	5500	"F "
"Turkmenistan"	213	"Barley"	44	"Area Harvested (Ha)"	31	61000	"F "
"Uganda"	226	"Bananas"	486	"Area Harvested (Ha)"	31	135000	"F "
"Ukraine"	230	"Apples"	515	"Area Harvested (Ha)"	31	170000	"F "
"Ukraine"	230	"Apricots"	526	"Area Harvested (Ha)"	31	14000	"F "
"Ukraine"	230	"Barley"	44	"Area Harvested (Ha)"	31	4100000	"  "
"United Arab Emirates"	225	"Bananas"	486	"Area Harvested (Ha)"	31	15	"F "
"United Kingdom"	229	"Apples"	515	"Area Harvested (Ha)"	31	15000	"F "
"United Kingdom"	229	"Asparagus"	367	"Area Harvested (Ha)"	31	1400	"  "
"United Kingdom"	229	"Barley"	44	"Area Harvested (Ha)"	31	885000	"  "
"United States of America"	231	"Apples"	515	"Area Harvested (Ha)"	31	156000	"F "
"United States of America"	231	"Apricots"	526	"Area Harvested (Ha)"	31	7000	"F "
"United States of America"	231	"Artichokes"	366	"Area Harvested (Ha)"	31	3320	"  "
"United States of America"	231	"Asparagus"	367	"Area Harvested (Ha)"	31	15460	"  "
"United States of America"	231	"Avocados"	572	"Area Harvested (Ha)"	31	27000	"F "
"United States of America"	231	"Bananas"	486	"Area Harvested (Ha)"	31	410	"F "
"United States of America"	231	"Barley"	44	"Area Harvested (Ha)"	31	1419650	"  "
"Uruguay"	234	"Apples"	515	"Area Harvested (Ha)"	31	3855	"  "
"Uruguay"	234	"Barley"	44	"Area Harvested (Ha)"	31	130000	"F "
"Niue"	160	"Bananas"	486	"Yield (Hg/Ha)"	41	20000	"F "
"Norway"	162	"Apples"	515	"Yield (Hg/Ha)"	41	90909	"F "
"Norway"	162	"Barley"	44	"Yield (Hg/Ha)"	41	37908	"F "
"Occupied Palestinian Territory"	299	"Apples"	515	"Yield (Hg/Ha)"	41	42307	"F "
"Occupied Palestinian Territory"	299	"Apricots"	526	"Yield (Hg/Ha)"	41	23913	"F "
"Occupied Palestinian Territory"	299	"Avocados"	572	"Yield (Hg/Ha)"	41	284615	"F "
"Occupied Palestinian Territory"	299	"Bananas"	486	"Yield (Hg/Ha)"	41	296296	"F "
"Occupied Palestinian Territory"	299	"Barley"	44	"Yield (Hg/Ha)"	41	20000	"F "
"Oman"	221	"Bananas"	486	"Yield (Hg/Ha)"	41	113043	"F "
"Oman"	221	"Barley"	44	"Yield (Hg/Ha)"	41	28333	"F "
"Pakistan"	165	"Apples"	515	"Yield (Hg/Ha)"	41	76536	"F "
"Pakistan"	165	"Apricots"	526	"Yield (Hg/Ha)"	41	65517	"F "
"Pakistan"	165	"Bananas"	486	"Yield (Hg/Ha)"	41	44285	"F "
"Pakistan"	165	"Barley"	44	"Yield (Hg/Ha)"	41	8924	"F "
"Panama"	166	"Avocados"	572	"Yield (Hg/Ha)"	41	30909	"F "
"Panama"	166	"Bananas"	486	"Yield (Hg/Ha)"	41	366667	"F "
"Papua New Guinea"	168	"Bananas"	486	"Yield (Hg/Ha)"	41	140323	"F "
"Paraguay"	169	"Apples"	515	"Yield (Hg/Ha)"	41	81250	"F "
"Paraguay"	169	"Avocados"	572	"Yield (Hg/Ha)"	41	58695	"F "
"Paraguay"	169	"Bananas"	486	"Yield (Hg/Ha)"	41	35384	"F "
"Peru"	170	"Apples"	515	"Yield (Hg/Ha)"	41	138095	"F "
"Peru"	170	"Apricots"	526	"Yield (Hg/Ha)"	41	30000	"F "
"Peru"	170	"Artichokes"	366	"Yield (Hg/Ha)"	41	161111	"F "
"Peru"	170	"Asparagus"	367	"Yield (Hg/Ha)"	41	118114	"F "
"Peru"	170	"Avocados"	572	"Yield (Hg/Ha)"	41	88888	"F "
"Peru"	170	"Barley"	44	"Yield (Hg/Ha)"	41	12903	"F "
"Philippines"	171	"Asparagus"	367	"Yield (Hg/Ha)"	41	145161	"F "
"Philippines"	171	"Avocados"	572	"Yield (Hg/Ha)"	41	48181	"F "
"Philippines"	171	"Bananas"	486	"Yield (Hg/Ha)"	41	162791	"F "
"Poland"	173	"Apples"	515	"Yield (Hg/Ha)"	41	59241	"F "
"Poland"	173	"Apricots"	526	"Yield (Hg/Ha)"	41	6470	"F "
"Poland"	173	"Barley"	44	"Yield (Hg/Ha)"	41	32940	"F "
"Portugal"	174	"Apples"	515	"Yield (Hg/Ha)"	41	95748	"F "
"Portugal"	174	"Apricots"	526	"Yield (Hg/Ha)"	41	81666	"F "
"Portugal"	174	"Avocados"	572	"Yield (Hg/Ha)"	41	13913	"F "
"Portugal"	174	"Bananas"	486	"Yield (Hg/Ha)"	41	251852	"F "
"Portugal"	174	"Barley"	44	"Yield (Hg/Ha)"	41	18567	"F "
"Puerto Rico"	177	"Avocados"	572	"Yield (Hg/Ha)"	41	21348	"F "
"Puerto Rico"	177	"Bananas"	486	"Yield (Hg/Ha)"	41	232609	"F "
"Qatar"	179	"Barley"	44	"Yield (Hg/Ha)"	41	29411	"F "
"Réunion"	182	"Apples"	515	"Yield (Hg/Ha)"	41	60000	"F "
"Réunion"	182	"Avocados"	572	"Yield (Hg/Ha)"	41	60000	"F "
"Réunion"	182	"Bananas"	486	"Yield (Hg/Ha)"	41	52941	"F "
"Romania"	183	"Apples"	515	"Yield (Hg/Ha)"	41	59589	"F "
"Romania"	183	"Apricots"	526	"Yield (Hg/Ha)"	41	16940	"F "
"Romania"	183	"Barley"	44	"Yield (Hg/Ha)"	41	13814	"F "
"Russian Federation"	185	"Apples"	515	"Yield (Hg/Ha)"	41	59756	"F "
"Russian Federation"	185	"Apricots"	526	"Yield (Hg/Ha)"	41	26000	"F "
"Russian Federation"	185	"Barley"	44	"Yield (Hg/Ha)"	41	16399	"F "
"Saint Lucia"	189	"Avocados"	572	"Yield (Hg/Ha)"	41	70000	"F "
"Saint Lucia"	189	"Bananas"	486	"Yield (Hg/Ha)"	41	103030	"F "
"Saint Vincent and Grenadines"	191	"Apples"	515	"Yield (Hg/Ha)"	41	40625	"F "
"Saint Vincent and Grenadines"	191	"Bananas"	486	"Yield (Hg/Ha)"	41	100000	"F "
"Samoa"	244	"Avocados"	572	"Yield (Hg/Ha)"	41	287500	"F "
"Samoa"	244	"Bananas"	486	"Yield (Hg/Ha)"	41	52272	"F "
"Sao Tome and Principe"	193	"Bananas"	486	"Yield (Hg/Ha)"	41	60000	"F "
"Saudi Arabia"	194	"Barley"	44	"Yield (Hg/Ha)"	41	62666	"F "
"Senegal"	195	"Bananas"	486	"Yield (Hg/Ha)"	41	242857	"F "
"Serbia"	272	"Apples"	515	"Yield (Hg/Ha)"	41	66277	"F "
"Serbia"	272	"Apricots"	526	"Yield (Hg/Ha)"	41	65577	"F "
"Serbia"	272	"Barley"	44	"Yield (Hg/Ha)"	41	27598	"F "
"Seychelles"	196	"Bananas"	486	"Yield (Hg/Ha)"	41	50000	"F "
"Slovakia"	199	"Apples"	515	"Yield (Hg/Ha)"	41	56250	"F "
"Slovakia"	199	"Apricots"	526	"Yield (Hg/Ha)"	41	15000	"F "
"Slovakia"	199	"Asparagus"	367	"Yield (Hg/Ha)"	41	40000	"F "
"Slovakia"	199	"Barley"	44	"Yield (Hg/Ha)"	41	32987	"F "
"Slovenia"	198	"Apples"	515	"Yield (Hg/Ha)"	41	398365	"F "
"Slovenia"	198	"Apricots"	526	"Yield (Hg/Ha)"	41	172500	"F "
"Slovenia"	198	"Barley"	44	"Yield (Hg/Ha)"	41	36641	"F "
"Solomon Islands"	25	"Bananas"	486	"Yield (Hg/Ha)"	41	30000	"F "
"Somalia"	201	"Bananas"	486	"Yield (Hg/Ha)"	41	172727	"F "
"South Africa"	202	"Apples"	515	"Yield (Hg/Ha)"	41	295455	"F "
"South Africa"	202	"Apricots"	526	"Yield (Hg/Ha)"	41	121429	"F "
"South Africa"	202	"Avocados"	572	"Yield (Hg/Ha)"	41	50000	"F "
"South Africa"	202	"Bananas"	486	"Yield (Hg/Ha)"	41	492857	"F "
"South Africa"	202	"Barley"	44	"Yield (Hg/Ha)"	41	27245	"F "
"Spain"	203	"Apples"	515	"Yield (Hg/Ha)"	41	179307	"F "
"Spain"	203	"Apricots"	526	"Yield (Hg/Ha)"	41	52787	"F "
"Spain"	203	"Artichokes"	366	"Yield (Hg/Ha)"	41	102381	"F "
"Spain"	203	"Asparagus"	367	"Yield (Hg/Ha)"	41	37894	"F "
"Spain"	203	"Avocados"	572	"Yield (Hg/Ha)"	41	80952	"F "
"Spain"	203	"Bananas"	486	"Yield (Hg/Ha)"	41	358039	"F "
"Spain"	203	"Barley"	44	"Yield (Hg/Ha)"	41	36406	"F "
"Sri Lanka"	38	"Arecanuts"	226	"Yield (Hg/Ha)"	41	20812	"F "
"Sudan"	206	"Bananas"	486	"Yield (Hg/Ha)"	41	321739	"F "
"Suriname"	207	"Bananas"	486	"Yield (Hg/Ha)"	41	200000	"F "
"Swaziland"	209	"Avocados"	572	"Yield (Hg/Ha)"	41	60000	"F "
"Swaziland"	209	"Bananas"	486	"Yield (Hg/Ha)"	41	41666	"F "
"Sweden"	210	"Apples"	515	"Yield (Hg/Ha)"	41	134000	"F "
"Sweden"	210	"Barley"	44	"Yield (Hg/Ha)"	41	44828	"F "
"Switzerland"	211	"Apples"	515	"Yield (Hg/Ha)"	41	581395	"F "
"Switzerland"	211	"Apricots"	526	"Yield (Hg/Ha)"	41	125000	"F "
"Switzerland"	211	"Artichokes"	366	"Yield (Hg/Ha)"	41	100000	"F "
"Switzerland"	211	"Asparagus"	367	"Yield (Hg/Ha)"	41	15333	"F "
"Switzerland"	211	"Barley"	44	"Yield (Hg/Ha)"	41	62672	"F "
"Syrian Arab Republic"	212	"Apples"	515	"Yield (Hg/Ha)"	41	46794	"F "
"Syrian Arab Republic"	212	"Apricots"	526	"Yield (Hg/Ha)"	41	65909	"F "
"Syrian Arab Republic"	212	"Artichokes"	366	"Yield (Hg/Ha)"	41	124000	"F "
"Syrian Arab Republic"	212	"Bananas"	486	"Yield (Hg/Ha)"	41	228571	"F "
"Syrian Arab Republic"	212	"Barley"	44	"Yield (Hg/Ha)"	41	5840	"F "
"Tajikistan"	208	"Apples"	515	"Yield (Hg/Ha)"	41	40476	"F "
"Tajikistan"	208	"Apricots"	526	"Yield (Hg/Ha)"	41	44285	"F "
"Tajikistan"	208	"Barley"	44	"Yield (Hg/Ha)"	41	13297	"F "
"Tanzania, United Republic of"	215	"Bananas"	486	"Yield (Hg/Ha)"	41	22388	"F "
"Tanzania, United Republic of"	215	"Barley"	44	"Yield (Hg/Ha)"	41	22500	"F "
"Thailand"	216	"Arecanuts"	226	"Yield (Hg/Ha)"	41	16875	"F "
"Thailand"	216	"Asparagus"	367	"Yield (Hg/Ha)"	41	38235	"F "
"Thailand"	216	"Bananas"	486	"Yield (Hg/Ha)"	41	130719	"F "
"Thailand"	216	"Barley"	44	"Yield (Hg/Ha)"	41	18000	"F "
"The former Yugoslav Republic of Macedonia"	154	"Apples"	515	"Yield (Hg/Ha)"	41	86666	"F "
"The former Yugoslav Republic of Macedonia"	154	"Apricots"	526	"Yield (Hg/Ha)"	41	75000	"F "
"The former Yugoslav Republic of Macedonia"	154	"Barley"	44	"Yield (Hg/Ha)"	41	21010	"F "
"Timor-Leste"	176	"Avocados"	572	"Yield (Hg/Ha)"	41	56923	"F "
"Timor-Leste"	176	"Bananas"	486	"Yield (Hg/Ha)"	41	333333	"F "
"Togo"	217	"Bananas"	486	"Yield (Hg/Ha)"	41	108571	"F "
"Tokelau"	218	"Bananas"	486	"Yield (Hg/Ha)"	41	30000	"F "
"Tonga"	219	"Bananas"	486	"Yield (Hg/Ha)"	41	14736	"F "
"Trinidad and Tobago"	220	"Avocados"	572	"Yield (Hg/Ha)"	41	54117	"F "
"Trinidad and Tobago"	220	"Bananas"	486	"Yield (Hg/Ha)"	41	51851	"F "
"Tunisia"	222	"Apples"	515	"Yield (Hg/Ha)"	41	40800	"F "
"Tunisia"	222	"Apricots"	526	"Yield (Hg/Ha)"	41	30000	"F "
"Tunisia"	222	"Artichokes"	366	"Yield (Hg/Ha)"	41	79831	"F "
"Tunisia"	222	"Avocados"	572	"Yield (Hg/Ha)"	41	92000	"F "
"Tunisia"	222	"Barley"	44	"Yield (Hg/Ha)"	41	10827	"F "
"Turkey"	223	"Apples"	515	"Yield (Hg/Ha)"	41	206040	"F "
"Turkey"	223	"Apricots"	526	"Yield (Hg/Ha)"	41	85901	"F "
"Turkey"	223	"Artichokes"	366	"Yield (Hg/Ha)"	41	118845	"F "
"Turkey"	223	"Asparagus"	367	"Yield (Hg/Ha)"	41	36666	"F "
"Turkey"	223	"Avocados"	572	"Yield (Hg/Ha)"	41	40307	"F "
"Turkey"	223	"Bananas"	486	"Yield (Hg/Ha)"	41	444257	"F "
"Turkey"	223	"Barley"	44	"Yield (Hg/Ha)"	41	20619	"F "
"Turkmenistan"	213	"Apples"	515	"Yield (Hg/Ha)"	41	27500	"F "
"Turkmenistan"	213	"Apricots"	526	"Yield (Hg/Ha)"	41	38909	"F "
"Turkmenistan"	213	"Barley"	44	"Yield (Hg/Ha)"	41	9622	"F "
"Uganda"	226	"Bananas"	486	"Yield (Hg/Ha)"	41	45555	"F "
"Ukraine"	230	"Apples"	515	"Yield (Hg/Ha)"	41	41588	"F "
"Ukraine"	230	"Apricots"	526	"Yield (Hg/Ha)"	41	26357	"F "
"Ukraine"	230	"Barley"	44	"Yield (Hg/Ha)"	41	14634	"F "
"United Arab Emirates"	225	"Bananas"	486	"Yield (Hg/Ha)"	41	133333	"F "
"United Kingdom"	229	"Apples"	515	"Yield (Hg/Ha)"	41	153333	"F "
"United Kingdom"	229	"Asparagus"	367	"Yield (Hg/Ha)"	41	21428	"F "
"United Kingdom"	229	"Barley"	44	"Yield (Hg/Ha)"	41	58180	"F "
"United States of America"	231	"Apples"	515	"Yield (Hg/Ha)"	41	271649	"F "
"United States of America"	231	"Apricots"	526	"Yield (Hg/Ha)"	41	114386	"F "
"United States of America"	231	"Artichokes"	366	"Yield (Hg/Ha)"	41	123223	"F "
"United States of America"	231	"Asparagus"	367	"Yield (Hg/Ha)"	41	32742	"F "
"United States of America"	231	"Avocados"	572	"Yield (Hg/Ha)"	41	92592	"F "
"United States of America"	231	"Bananas"	486	"Yield (Hg/Ha)"	41	218049	"F "
"United States of America"	231	"Barley"	44	"Yield (Hg/Ha)"	41	32486	"F "
"Uruguay"	234	"Apples"	515	"Yield (Hg/Ha)"	41	173473	"F "
"Uruguay"	234	"Barley"	44	"Yield (Hg/Ha)"	41	33461	"F "
"Niue"	160	"Bananas"	486	"Production (tonnes)"	51	80	"F "
"Norway"	162	"Apples"	515	"Production (tonnes)"	51	15000	"F "
"Norway"	162	"Barley"	44	"Production (tonnes)"	51	580000	"F "
"Occupied Palestinian Territory"	299	"Apples"	515	"Production (tonnes)"	51	1100	"F "
"Occupied Palestinian Territory"	299	"Apricots"	526	"Production (tonnes)"	51	1100	"F "
"Occupied Palestinian Territory"	299	"Avocados"	572	"Production (tonnes)"	51	370	"F "
"Occupied Palestinian Territory"	299	"Bananas"	486	"Production (tonnes)"	51	8000	"F "
"Occupied Palestinian Territory"	299	"Barley"	44	"Production (tonnes)"	51	22000	"F "
"Oman"	221	"Bananas"	486	"Production (tonnes)"	51	26000	"F "
"Oman"	221	"Barley"	44	"Production (tonnes)"	51	3400	"F "
"Pakistan"	165	"Apples"	515	"Production (tonnes)"	51	350000	"F "
"Pakistan"	165	"Apricots"	526	"Production (tonnes)"	51	190000	"F "
"Pakistan"	165	"Bananas"	486	"Production (tonnes)"	51	155000	"F "
"Pakistan"	165	"Barley"	44	"Production (tonnes)"	51	83000	"  "
"Panama"	166	"Avocados"	572	"Production (tonnes)"	51	3400	"F "
"Panama"	166	"Bananas"	486	"Production (tonnes)"	51	440000	"F "
"Papua New Guinea"	168	"Bananas"	486	"Production (tonnes)"	51	870000	"F "
"Paraguay"	169	"Apples"	515	"Production (tonnes)"	51	650	"F "
"Paraguay"	169	"Avocados"	572	"Production (tonnes)"	51	13500	"F "
"Paraguay"	169	"Bananas"	486	"Production (tonnes)"	51	46000	"F "
"Peru"	170	"Apples"	515	"Production (tonnes)"	51	145000	"F "
"Peru"	170	"Apricots"	526	"Production (tonnes)"	51	210	"F "
"Peru"	170	"Artichokes"	366	"Production (tonnes)"	51	72500	"F "
"Peru"	170	"Asparagus"	367	"Production (tonnes)"	51	283473	"  "
"Peru"	170	"Avocados"	572	"Production (tonnes)"	51	120000	"F "
"Peru"	170	"Barley"	44	"Production (tonnes)"	51	200000	"F "
